view_count,cart_count,purchase_count,stock_level,competitor_price_ratio,hour_of_day,day_of_week,base_price_tier,demand_score,conversion_rate,cart_conversion,price_multiplier
18,2,0,194,1.0263,18,5,1,0.3122,0.0,0.1111,1.0117
120,66,14,29,0.9968,8,3,3,1.0,0.1167,0.55,1.0806
52,2,0,46,0.9731,8,5,1,0.3369,0.0,0.0385,1.0258
36,10,0,523,1.0726,16,3,3,0.7356,0.0,0.2778,1.0821
6,0,0,169,0.9551,13,0,1,0.03,0.0,0.0,0.9091
6,0,0,543,1.0647,12,1,2,0.03,0.0,0.0,0.9024
2,0,0,5,1.1042,0,6,2,0.01,0.0,0.0,0.9116
80,7,1,443,0.9657,0,6,2,0.6125,0.0125,0.0875,1.0386
36,9,2,17,1.096,6,3,2,0.8467,0.0556,0.25,1.0582
49,4,0,450,1.1564,22,2,2,0.4083,0.0,0.0816,1.0466
0,0,0,282,1.1287,14,0,1,0.0,0.0,0.0,0.892
140,14,5,493,1.1501,21,4,3,0.8071,0.0357,0.1,1.089
71,15,1,284,1.0468,15,3,1,0.8198,0.0141,0.2113,1.0537
9,1,0,397,0.9836,1,3,1,0.2672,0.0,0.1111,0.9216
8,1,0,89,1.1163,7,2,3,0.29,0.0,0.125,0.976
8,0,0,347,1.0121,11,0,1,0.04,0.0,0.0,0.8829
14,2,0,582,1.1283,0,0,3,0.3557,0.0,0.1429,1.0062
29,1,0,4,1.1881,21,6,2,0.214,0.0,0.0345,0.9843
22,8,1,9,1.0147,14,5,1,0.9736,0.0455,0.3636,1.1443
13,2,0,188,1.2029,1,5,3,0.3727,0.0,0.1538,1.037
37,9,1,498,0.9614,1,5,2,0.7526,0.027,0.2432,1.0678
6,0,0,92,1.0958,15,2,2,0.03,0.0,0.0,0.9018
13,1,0,96,1.0598,16,0,1,0.2188,0.0,0.0769,0.9635
18,2,0,255,1.0045,9,2,3,0.3122,0.0,0.1111,1.0231
24,10,1,153,0.9409,7,1,1,1.0,0.0417,0.4167,1.0577
61,9,2,379,0.9219,2,0,2,0.6984,0.0328,0.1475,1.0233
8,1,0,20,1.0019,6,2,3,0.29,0.0,0.125,0.96
28,7,0,412,0.9396,7,4,2,0.64,0.0,0.25,1.0042
35,1,0,381,0.892,7,2,2,0.2321,0.0,0.0286,0.8992
1,0,0,46,1.0701,7,2,2,0.005,0.0,0.0,0.9355
37,15,3,91,1.0703,21,5,1,1.0,0.0811,0.4054,1.1196
7,0,0,57,1.1261,9,4,1,0.035,0.0,0.0,0.9352
2,1,0,23,0.9618,1,4,2,1.0,0.0,0.5,1.06
118,39,11,7,1.0692,2,1,3,1.0,0.0932,0.3305,1.1381
134,46,5,433,0.9427,0,6,2,1.0,0.0373,0.3433,1.0491
66,18,6,98,1.1871,0,2,3,1.0,0.0909,0.2727,1.0995
14,2,0,521,1.1258,2,3,3,0.3557,0.0,0.1429,1.0127
4,1,0,99,1.1822,20,5,3,0.52,0.0,0.25,1.0648
46,10,2,242,1.048,17,6,3,0.7952,0.0435,0.2174,1.1256
23,5,0,41,1.1666,14,1,2,0.5498,0.0,0.2174,1.08
5,1,0,191,0.9817,13,3,1,0.425,0.0,0.2,0.999
27,5,0,527,1.1097,3,5,1,0.5054,0.0,0.1852,1.0477
1,0,0,37,1.1536,17,6,2,0.005,0.0,0.0,0.893
96,5,0,61,1.0104,13,3,1,0.5842,0.0,0.0521,1.0068
11,1,0,103,1.2385,3,2,2,0.2368,0.0,0.0909,0.9764
43,9,2,175,1.0286,10,6,2,0.7731,0.0465,0.2093,1.0975
14,3,1,248,1.0538,5,6,1,0.7129,0.0714,0.2143,1.1158
29,3,1,291,1.2023,8,6,3,0.4553,0.0345,0.1034,1.018
31,5,1,1,1.1162,14,6,1,0.5744,0.0323,0.1613,1.1056
8,2,1,94,0.9683,7,2,2,0.915,0.125,0.25,1.0474
139,24,11,463,1.0717,1,2,2,1.0,0.0791,0.1727,1.0869
59,7,3,92,1.0588,19,2,3,0.6848,0.0508,0.1186,1.0342
112,12,1,239,1.2313,5,4,2,0.7411,0.0089,0.1071,1.0828
90,13,5,293,1.1173,8,4,2,0.9056,0.0556,0.1444,1.1155
36,14,1,371,1.103,5,4,2,1.0,0.0278,0.3889,1.0358
101,20,6,289,0.9943,13,3,2,1.0,0.0594,0.198,1.0533
3,0,0,43,1.0019,5,3,2,0.015,0.0,0.0,0.9002
8,0,0,198,0.9788,12,6,1,0.04,0.0,0.0,0.9563
1,0,0,94,1.0586,4,2,3,0.005,0.0,0.0,0.9141
15,5,1,433,0.9103,4,1,1,0.9417,0.0667,0.3333,1.0366
19,3,1,283,0.9697,4,6,1,0.5687,0.0526,0.1579,1.0075
12,2,0,75,0.9968,21,0,2,0.3933,0.0,0.1667,0.9974
70,15,3,140,1.1727,5,2,1,0.9071,0.0429,0.2143,1.0454
17,4,0,70,1.1498,16,1,2,0.5556,0.0,0.2353,1.0519
13,2,0,125,1.0748,22,1,1,0.3727,0.0,0.1538,1.0361
31,2,0,325,0.9977,11,2,1,0.284,0.0,0.0645,0.8997
6,0,0,15,1.0872,10,1,2,0.03,0.0,0.0,0.9187
64,7,1,92,1.064,2,0,2,0.5856,0.0156,0.1094,1.013
3,0,0,71,0.9545,4,2,2,0.015,0.0,0.0,0.9101
173,28,1,70,1.1866,2,0,2,0.841,0.0058,0.1618,1.0324
59,18,2,80,1.0766,18,0,1,1.0,0.0339,0.3051,1.088
8,0,0,268,1.1319,15,4,2,0.04,0.0,0.0,0.8794
0,0,0,55,1.0644,11,3,2,0.0,0.0,0.0,0.867
67,10,3,543,1.0699,15,1,1,0.7678,0.0448,0.1493,1.0617
49,6,0,354,0.9341,13,3,1,0.4899,0.0,0.1224,1.0067
52,19,2,31,0.9535,17,5,1,1.0,0.0385,0.3654,1.0385
59,7,1,62,1.0128,2,5,3,0.5831,0.0169,0.1186,1.0263
3,1,0,176,1.0123,15,5,2,0.6817,0.0,0.3333,1.0676
17,5,1,163,0.8276,14,0,1,0.8497,0.0588,0.2941,1.0524
4,0,0,159,0.9458,8,0,2,0.02,0.0,0.0,0.8915
79,23,4,24,1.1313,7,5,2,1.0,0.0506,0.2911,1.1145
39,10,0,79,1.0848,1,1,2,0.7078,0.0,0.2564,1.0561
16,3,0,49,1.216,9,2,1,0.455,0.0,0.1875,1.0164
2,0,0,124,0.9522,9,4,1,0.01,0.0,0.0,0.8821
14,2,0,584,1.0454,6,3,3,0.3557,0.0,0.1429,0.9837
15,3,1,391,1.2191,10,3,2,0.675,0.0667,0.2,1.0407
52,12,4,57,1.1728,11,6,1,0.9523,0.0769,0.2308,1.0712
40,2,0,67,1.1759,16,3,1,0.3,0.0,0.05,1.0362
87,9,3,49,1.1489,7,4,2,0.7453,0.0345,0.1034,1.1118
25,7,1,249,1.1025,13,2,3,0.805,0.04,0.28,1.0733
5,0,0,469,1.0328,7,1,3,0.025,0.0,0.0,0.9112
49,7,2,256,0.9943,7,1,3,0.6532,0.0408,0.1429,1.0193
57,5,0,10,1.0641,21,0,1,0.4604,0.0,0.0877,1.0898
